Designator,Mid X,Mid Y,Layer,Rotation
C474,12.253599999999999mm,19.914997999999997mm,Bottom,270.0
R470,8.6mm,18.999997999999998mm,Bottom,180.0
U471,13.635mm,19.946997999999997mm,Top,180.0
R474,14.5mm,19.914597999999998mm,Bottom,180.0
R473,13.240400000000001mm,19.449997999999997mm,Bottom,270.0
R472,10.725mm,18.999997999999998mm,Bottom,180.0
C473,14.6mm,20.899998mm,Bottom,180.0
C472,14.6mm,19.049998mm,Bottom,0.0
U470,9.66mm,19.946997999999997mm,Top,180.0
R471,8.6mm,19.899998mm,Bottom,0.0
C471,8.65mm,20.899998mm,Bottom,0.0
C470,10.775mm,20.899998mm,Bottom,180.0
